# Time-averaged data for fix myat2
# TimeStep v_number_type2_in
2000 135.295
4000 125.62
6000 117.34
8000 110.12
10000 104.825
12000 99.385
14000 97.425
16000 96.705
18000 93.945
20000 93.03
22000 89.945
24000 87.87
26000 91.015
28000 89.325
30000 84.065
32000 81.96
34000 81.43
36000 79.915
38000 79.6
40000 78.885
42000 76.415
44000 75.55
46000 74.36
48000 70.155
50000 66.875
52000 67.6
54000 65.465
56000 68.24
58000 67.3
60000 64.17
62000 60.51
64000 56.505
66000 54.905
68000 52.2
70000 49.64
72000 50.09
74000 51.125
76000 50.385
78000 47.635
80000 47.555
82000 45.995
84000 43.445
86000 46.725
88000 46.955
90000 45.075
92000 42.905
94000 39.54
96000 42.595
98000 43.51
100000 42.975
102000 47.565
104000 47.51
106000 47.21
108000 52.12
110000 48.975
112000 49.1
114000 46.79
116000 43.99
118000 46.615
120000 46.355
122000 45.305
124000 47.125
126000 45.99
128000 48.295
130000 46.45
132000 45.485
134000 44.12
136000 41.915
138000 42.29
140000 43.215
142000 43.26
144000 43.195
146000 44.055
148000 44.28
150000 44.625
152000 44.36
154000 41.515
156000 41.225
158000 42.615
160000 43.545
162000 41.685
164000 39.97
166000 39.625
168000 42.025
170000 41.05
172000 41.07
174000 37.48
176000 36.135
178000 36.03
180000 36.36
182000 38.515
184000 38.79
186000 35.58
188000 35.58
190000 35.705
192000 37.255
194000 38.155
196000 39.54
198000 36.77
200000 34.62
202000 33.76
204000 32.74
206000 34.625
208000 28.555
210000 28.265
212000 30.88
214000 30.29
216000 28.975
218000 30.485
220000 28.03
222000 26.09
224000 26.34
226000 28.165
228000 26.79
230000 26.865
232000 25.45
234000 26.68
236000 26.79
238000 27.775
240000 29.055
242000 29.815
244000 29.465
246000 27.05
248000 26.08
250000 29.05
252000 29.015
254000 30
256000 29.53
258000 30.095
260000 31.355
262000 32.56
264000 35.94
266000 34.595
268000 33.605
270000 33.805
272000 32.675
274000 31.845
276000 31.745
278000 31.615
280000 31.39
282000 34.455
284000 35.56
286000 36.325
288000 35.255
290000 35.015
292000 35.535
294000 33.975
296000 35.995
298000 33.605
300000 34.285
