# Time-averaged data for fix myat1
# TimeStep v_number_type1_in
2000 15.275
4000 28.215
6000 39.34
8000 42.23
10000 41.79
12000 44.12
14000 54.14
16000 61.65
18000 70.57
20000 75.78
22000 71.76
24000 75.705
26000 81.425
28000 78.44
30000 82.15
32000 83.47
34000 87.19
36000 87.21
38000 89.83
40000 95.75
42000 106.41
44000 111.67
46000 111.345
48000 111.23
50000 112.525
52000 115.76
54000 115.925
56000 126.04
58000 127.065
60000 120.855
62000 115.13
64000 115.33
66000 121.97
68000 121.885
70000 127.145
72000 132.795
74000 130.725
76000 125.205
78000 128.565
80000 123.84
82000 128.345
84000 138.625
86000 139.89
88000 135.44
90000 142.83
92000 139.195
94000 134.7
96000 145.705
98000 147.89
100000 149.655
102000 157.02
104000 155.86
106000 150.57
108000 153.735
110000 150.635
112000 147.235
114000 145.535
116000 146.865
118000 149.385
120000 146.195
122000 145.685
124000 142.78
126000 139.755
128000 147.39
130000 151.505
132000 148.515
134000 153.515
136000 153.35
138000 153.99
140000 160.385
142000 162.11
144000 163.2
146000 161.925
148000 158.525
150000 162.805
152000 161.66
154000 163.69
156000 166.045
158000 165.755
160000 158.505
162000 158.365
164000 165.36
166000 158.84
168000 155.69
170000 159.675
172000 162.75
174000 158.315
176000 157.695
178000 156.985
180000 156.235
182000 153.055
184000 153.405
186000 157.205
188000 160.71
190000 164.345
192000 162.195
194000 160.485
196000 157.475
198000 161.245
200000 158.505
202000 158.255
204000 163.77
206000 166.14
208000 168.885
210000 167.135
212000 166.06
214000 162.79
216000 159.805
218000 158.875
220000 158.325
222000 155.505
224000 159.135
226000 159.26
228000 164.645
230000 171.48
232000 176.75
234000 168.355
236000 164.195
238000 165.115
240000 163.58
242000 164.46
244000 171.2
246000 163.93
248000 169.13
250000 167.855
252000 175.285
254000 176.99
256000 178.015
258000 178.6
260000 182.455
262000 176.91
264000 173.1
266000 172.655
268000 172.76
270000 177.005
272000 177.47
274000 182.11
276000 186.835
278000 183.19
280000 184.34
282000 187.085
284000 184.565
286000 188.755
288000 190.935
290000 196.155
292000 195.005
294000 194.17
296000 190.63
298000 192.54
300000 196.545
